DAY,TOPIC,Status,Question - Short,Question - Long
DAY1,ARRAY,FALSE,Sorted Squared Array,You are given an array of Integers in which each subsequent value is not less than the previous value. Write a function that takes this array as an input and returns a new array with the squares of each number sorted in ascending order.
DAY1,ARRAY,FALSE,Monotonic Array,"An array is monotonic if it is either monotone increasing or monotone decreasing. An array is monotone increasing if all its elements from left to right are non-decreasing. An array is monotone decreasing if all  its elements from left to right are non-increasing. Given an integer array return true if the given array is monotonic, or false otherwise. "
DAY2,ARRAY,FALSE,Rotate Array,"Given an array, rotate the array to the right by k steps, where k is non-negative."
DAY2,ARRAY,FALSE,Container with most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).
Find two lines that together with the x-axis form a container, such that the container contains the most water(depth is constant across containers). Return the area(that the 2 lines and the X axis make) of container which can store the max amount of water. Notice that you may not slant the container. "
DAY3,HASH TABLE,FALSE,Two Sum,You are given an array of Integers and another integer targetValue. Write a function that will take these inputs and return the indices of the 2 integers in the array that add up targetValue.
DAY3,HASH TABLE,FALSE,Isomorphic Strings,"Given two strings s and t, determine if they are isomorphic. Two strings s and t are isomorphic if the characters in s can be replaced to get t.
All occurrences of a character must be replaced with another character while preserving the order of characters. No two characters may map to the same character, but a character may map to itself. s and t consist of any valid ascii character. "
DAY4,RECURSION,FALSE,Fibonacci,"In the Fibonacci sequence, each subsequent term is obtained by adding the preceding 2 terms. This is true for all the numbers except the first 2 numbers of the Fibonacci series as they do not have 2 preceding numbers. The first 2 terms in the Fibonacci series is 0 and 1. F(n) = F(n-1)+F(n-2) for n>1. Write a function that finds F(n) given n where n is an integer greater than equal to 0. For the first term n = 0. "
DAY4,RECURSION,FALSE,Power Sum,"Let’s define a peculiar type of array in which each element is either an integer or another peculiar array. Assume that a peculiar array is never empty. Write a function that will take a peculiar array as its input and find the sum of its elements. If an array is an element in the peculiar array you have to convert it to it’s equivalent value so that you can sum it with the other elements. Equivalent value of an array is the sum of its elements raised to the number which represents how far nested it is. For e.g. [2,3[4,1,2]] = 2+3+ (4+1+2)^2 
[1,2,[7,[3,4],2]] = 1 + 2 +( 7+(3+4)^3+2)^2"
DAY5,RECURSION,FALSE,Permutations,"Given an array of distinct integers, return all the possible permutations. You can return the answer in any order."
DAy5,RECURSION,FALSE,Power Set,"Given an integer array of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order. "
DAY6,STRING,FALSE,Non repeating character,You are given a string consisting of only lower case and upper-case English Alphabets and integers 0 to 9. Write a function that will take this string as Input and return the index of the first character that is non-repeating.
DAY6,STRING,FALSE,Palindrome,You are given a string. Write a function to check whether the string is a palindrome or not.
DAY7,STRING,FALSE,Longest Unique char Substring ,"Given a string s, find the length of the longest substring without repeating characters."
DAY7,STRING,FALSE,Group Anagrams,"Given an array of strings consisting of lower case English letters, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, using all the original letters exactly once. "
DAY8,SEARCHING,FALSE,Binary Search,"Given an array of integers which is sorted in ascending order, and a target integer, write a function to search for whether the target integer is there in the given array. If it is there then return its index. Otherwise, return -1. You must write an algorithm with O(log n) runtime complexity.  "
DAY8,SEARCHING,FALSE,Search in Rotated Sorted array,"You are given an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). 
For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given an integer target, return the index of target if it is in the array, else return -1. You must write an algorithm with O(log n) runtime complexity."
DAY9,SEARCHING,FALSE,Find First and Last Position of Element in Sorted Array,"You are given an array of integers sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. "
DAY9,SEARCHING,FALSE,Search in 2D Array,"Write an efficient algorithm that searches for a value target in an m x n integer matrix. This matrix has the following properties:
Integers in each row are sorted from left to right.
The first integer of each row is greater than the last integer of the previous row.
If the value is there in the matrix return true, else false."
DAY10,SORTING,FALSE,Bubble Sort,You are given an array of integers. Write a function that will take this array as input and return the sorted array using Bubble sort.
DAY10,SORTING,FALSE,Insertion Sort,You are given an array of integers. Write a function that will take this array as input and return the sorted array using Insertion sort.
DAY11,SORTING,FALSE,Selection Sort,You are given an array of integers. Write a function that will take this array as input and return the sorted array using Selection sort.
DAY11,SORTING,FALSE,Merge Sort,You are given an array of integers. Write a function that will take this array as input and return the sorted array using Merge sort.
DAY12,SORTING,FALSE,Quick Sort,You are given an array of integers. Write a function that will take this array as input and return the sorted array using Quick sort.
DAY12,SORTING,FALSE,Radix Sort,You are given an array of non-negative integers. Write a function that will take this array as input and return the sorted array using Radix sort.
DAY13,SINGLY LINKED LIST,FALSE,Construct SLL,"Design a Singly linked list class that has a head and tail. Every node is to have two attributes: value:  the value of the current node, and next: a pointer to the next node. The linked list is to be 0-indexed. The class should support the following: 
SinglyLinkedList() Initializes the SinglyLinkedList object.
get(index) Get the value of the indexth node. If the index is invalid, return -1.
addAtHead(value)- Add a node of given value before the first element of the linked list. 
addAtTail(value) -  Add a node of given value at the last element of the linked list.
addAtIndex(index, value) Add a node of given value before the indexth node in the linked list. If index equals the length of the linked list, the node will be appended to the end of the linked list. If index is greater than the length, don’t insert the node.
deleteAtIndex(index) Delete the indexth node in the linked list, if the index is valid, else nothing happens."
DAY13,SINGLY LINKED LIST,FALSE,delete duplicates ,"You are given the head of a Sorted Singly Linked list. Write a function that will take the given head as input, delete all nodes that have a value that is already the value of another node so that each value appears 1 time only and return the linked list, which is still to be a sorted linked list."
